CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
1 0 0 0 0 0 0
2 0 0 25 0.532231 3.32121 -12.1852
3 0 0 51 1.81245 11.3102 -30.4874
4 0 0 76 3.95685 24.2335 -44.982
5 0 0 102 7.27445 34.7453 -57.1281
6 0 0 127 11.1796 40.7321 -66.8265
7 0 0 153 15.1194 46.6364 -76.5133
8 0 0 178 18.793 52.1417 -85.5456
9 0 0 204 22.5133 57.717 -94.6927
10 0 0 229 26.0075 62.9535 -103.284
11 0 0 255 29.5659 68.2862 -112.033
12 0 25 0 6.29524 -12.0168 9.07235
13 0 25 25 6.82746 -8.69601 -3.08528
14 0 25 51 8.1072 -0.705003 -20.4383
15 0 25 76 10.0687 9.85304 -34.9254
16 0 25 102 12.6223 20.0365 -48.2291
17 0 25 127 15.3991 28.7845 -59.787
18 0 25 153 18.4863 36.9448 -70.8881
19 0 25 178 21.5622 44.0911 -80.9151
20 0 25 204 24.8174 50.9725 -90.8377
21 0 25 229 27.9693 57.1847 -100
22 0 25 255 31.2494 63.3191 -109.214
23 0 51 0 17.3356 -25.4547 23.8222
24 0 51 25 17.6093 -22.4829 11.7691
25 0 51 51 18.2498 -16.2676 -4.80389
26 0 51 76 19.2719 -7.92061 -20.1917
27 0 51 102 20.7455 1.88451 -34.9882
28 0 51 127 22.5127 11.4566 -48.0848
29 0 51 153 24.6521 21.0407 -60.6879
30 0 51 178 26.938 29.7096 -71.9914
31 0 51 204 29.4959 38.1261 -83.0532
32 0 51 229 32.0838 45.6845 -93.1432
33 0 51 255 34.8715 53.0581 -103.171
34 0 76 0 27.2449 -33.0212 33.7293
35 0 76 25 27.4082 -31.2121 23.4993
36 0 76 51 27.7961 -27.1496 8.77314
37 0 76 76 28.4308 -21.1031 -6.23185
38 0 76 102 29.3784 -13.1579 -21.3585
39 0 76 127 30.5627 -4.57549 -35.1356
40 0 76 153 32.0604 4.75038 -48.6296
41 0 76 178 33.7308 13.7199 -60.8537
42 0 76 204 35.6764 22.8104 -72.867
43 0 76 229 37.717 31.2069 -83.8266
44 0 76 255 39.9855 39.5347 -94.6904
45 0 102 0 36.9768 -40.4524 41.3289
46 0 102 25 37.0858 -39.2353 33.7988
47 0 102 51 37.3462 -36.4184 21.2169
48 0 102 76 37.7767 -32.014 7.19865
49 0 102 102 38.4296 -25.8522 -7.63428
50 0 102 127 39.2616 -18.7391 -21.5476
51 0 102 153 40.3383 -10.5048 -35.448
52 0 102 178 41.5696 -2.12938 -48.2182
53 0 102 204 43.041 6.76622 -60.891
54 0 102 229 44.624 15.2987 -72.5266
55 0 102 255 46.4272 24.0126 -84.1027
56 0 127 0 45.9272 -47.2867 48.3113
57 0 127 25 46.007 -46.3921 42.5083
58 0 127 51 46.1982 -44.2924 31.8189
59 0 127 76 46.5159 -40.9286 18.9883
60 0 127 102 47.0011 -36.062 4.78131
61 0 127 127 47.6254 -30.2199 -8.9241
62 0 127 153 48.443 -23.1727 -22.8762
63 0 127 178 49.3908 -15.7112 -35.8696
64 0 127 204 50.5403 -7.48659 -48.8966
65 0 127 229 51.7965 0.667399 -60.9512
66 0 127 255 53.2502 9.23498 -73.0139
67 0 153 0 54.9038 -54.1411 55.3143
68 0 153 25 54.9647 -53.4571 50.7455
69 0 153 51 55.1109 -51.8385 41.7253
70 0 153 76 55.3543 -49.2083 30.183
