CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
1 0 0 0 0 0 0
2 0 0 25 0.390119 7.48084 -12.4509
3 0 0 51 1.3285 25.4755 -31.354
4 0 0 76 2.90032 48.3331 -46.8452
5 0 0 102 5.33209 67.0617 -60.528
6 0 0 127 8.50613 80.2452 -71.4956
7 0 0 153 12.0584 91.877 -81.8592
8 0 0 178 15.3707 102.723 -91.5226
9 0 0 204 18.7251 113.707 -101.309
10 0 0 229 21.8756 124.023 -110.5
11 0 0 255 25.084 134.529 -119.86
12 0 25 0 6.01241 -11.2155 8.81843
13 0 25 25 6.40253 -3.73506 -3.61442
14 0 25 51 7.34091 13.1898 -21.6867
15 0 25 76 8.88007 31.2942 -36.9532
16 0 25 102 10.9635 48.7813 -51.0978
17 0 25 127 13.2817 64.1068 -63.4663
18 0 25 153 15.9057 78.712 -75.382
19 0 25 178 18.5555 91.7422 -86.1565
20 0 25 204 21.3877 104.478 -96.82
21 0 25 229 24.1503 116.112 -106.664
22 0 25 255 27.041 127.705 -116.559
23 0 51 0 16.8287 -24.3691 23.7441
24 0 51 25 17.0359 -18.5122 11.4117
25 0 51 51 17.524 -6.83708 -5.74917
26 0 51 76 18.3109 8.07504 -21.6806
27 0 51 102 19.4617 25.0198 -37.1106
28 0 51 127 20.8643 41.3439 -50.8817
29 0 51 153 22.5905 57.7055 -64.2303
30 0 51 178 24.464 72.6369 -76.269
31 0 51 204 26.5898 87.3138 -88.0956
32 0 51 229 28.7667 100.669 -98.9103
33 0 51 255 31.1358 113.865 -109.674
34 0 76 0 26.5873 -31.6128 34.3331
35 0 76 25 26.7109 -28.0122 23.4374
36 0 76 51 27.0051 -20.1448 8.05665
37 0 76 76 27.4892 -8.8693 -7.45812
38 0 76 102 28.2175 5.40298 -23.1083
39 0 76 127 29.1366 20.3889 -37.4288
40 0 76 153 30.3119 36.399 -51.539
41 0 76 178 31.6386 51.6882 -64.398
42 0 76 204 33.2024 67.1868 -77.1028
43 0 76 229 34.8617 81.5726 -88.7455
44 0 76 255 36.7266 95.9513 -100.327
45 0 102 0 36.1713 -38.727 42.2302
46 0 102 25 36.2537 -36.2946 34.0431
47 0 102 51 36.4509 -30.756 20.7582
48 0 102 76 36.7779 -22.316 6.19453
49 0 102 102 37.2761 -10.8654 -9.13651
50 0 102 127 37.9147 1.96969 -23.5246
51 0 102 153 38.7472 16.4725 -37.9455
52 0 102 178 39.7071 30.9704 -51.2522
53 0 102 204 40.8644 46.207 -64.52
54 0 102 229 42.1211 60.7508 -76.7583
55 0 102 255 43.5661 75.5972 -88.9858
56 0 127 0 44.9855 -45.2698 49.3649
57 0 127 25 45.0459 -43.4786 43.0216
58 0 127 51 45.1906 -39.3187 31.6278
59 0 127 76 45.4314 -32.773 18.2066
60 0 127 102 45.8004 -23.5238 3.48233
61 0 127 127 46.277 -12.701 -10.6801
62 0 127 153 46.9043 0.0401338 -25.1057
63 0 127 178 47.6356 13.2521 -38.5727
64 0 127 204 48.5285 27.581 -52.1206
65 0 127 229 49.5111 41.6245 -64.7051
66 0 127 255 50.6568 56.276 -77.3474
67 0 153 0 53.8257 -51.832 56.5206
68 0 153 25 53.8717 -50.4607 51.5081
69 0 153 51 53.9823 -47.2397 41.8165
70 0 153 76 54.1667 -42.0715 29.6508
71 0 153 102 54.45 -34.5726 15.7363
